,accx,accy,accz
0,5.012288,11.264028,0.95342433;
1,4.903325,10.882658,-0.08172209;
2,-0.61291564,18.496431,3.0237172;
3,-1.1849703,12.108489,7.205164;
4,1.3756552,-2.4925237,-6.510526;
5,-0.61291564,10.56939,5.706926;
6,-0.50395286,13.947236,7.0553403;
7,-8.430995,11.413852,5.134871;
8,0.95342433,1.3756552,1.6480621;
9,-8.19945,19.57244,2.7240696;
10,1.4165162,5.7886477,2.982856;
11,-1.879608,-2.982856,-0.29964766;
12,-6.1291566,6.851035,-8.158588;
13,5.829509,18.0061,8.539958;
14,6.2789803,2.982856,2.9147544;
15,-1.56634,8.308413,-1.4573772;
16,3.5276701,13.593107,9.425281;
17,-2.0294318,-5.706926,-10.18802;
18,2.7649305,10.337844,-9.724928;
19,3.568531,13.6748295,1.5390993;
20,-0.50395286,3.8681788,3.718355;
21,-2.3018389,1.6889231,0.08172209;
22,-3.568531,19.57244,6.510526;
23,-0.8036005,-3.2961242,-4.630918;
24,0.50395286,10.841797,13.525005;
25,5.706926,15.595298,6.1700177;
26,-8.662541,7.273266,4.0180025;
27,-1.334794,1.2258313,2.3699405;
28,-4.5900574,19.57244,4.7126403;
29,3.8681788,3.759216,0.84446156;
30,-1.7978859,1.5390993,8.730643;
31,7.668256,11.264028,-1.3075534;
32,-2.3699405,14.2877445,8.281172;
33,2.7240696,1.4573772,0.88532263;
34,-3.5957718,18.659876,-0.6537767;
35,3.9499009,4.140586,3.990762;
36,0.46309182,-2.4108016,2.4108016;
37,3.7864566,14.137921,-3.1463003;
38,3.336985,19.231932,6.5513873;
39,5.6660647,3.7864566,0.53119355;
40,0.23154591,0.7627395,0.7627395;
41,-4.8216033,19.57244,8.158588;
42,1.8387469,-1.1168685,-2.7921712;
43,-3.2961242,10.079058,13.824653;
44,11.604536,17.079916,1.334794;
45,-3.173541,14.015338,5.706926;
46,0.61291564,1.1168685,2.5606253;
47,-7.8861814,19.57244,1.9885708;
48,3.1463003,5.243834,4.671779;
49,-3.0237172,-4.3312707,-3.336985;
50,-0.08172209,11.917805,-7.8861814;
51,-1.0351465,14.818938,4.6036777;
52,-2.4516625,2.5333846,3.486809;
53,-1.3756552,2.070293,-0.19068487;
54,-2.4925237,19.57244,6.469665;
55,1.4573772,-5.243834,-4.372132;
